Profession,Llama 3.2 1B,Llama 3.2 3B,Gemma 2 2B,Gemma 2 9B,Gemma 2 27B,GPT-4o,GPT-4o-mini,Gemini 1.5 Flash,Gemini 1.5 Flash-8B,Gemini 1.5 Pro,Gemini 2.0 Flash,GPT-4o mini,U.S. BLS,GSR
kindergarten teacher,0.013333333,0,0.013333333,0,0,0,0,0,0,0,0,0,0.033,0.183333333
dental hygienist,0.053333333,0.04,0.04,0,0,0,0,0,0,0,0,0,0.043,0.386666667
child care worker,0.053333333,0,0.013333333,0.013333333,0,0.013333333,0,0,0,0,0.013333333,0,0.062,0.18
cosmetologist,0.053333333,0.026666667,0,0,0,0,0,0,0,0.04,0,0,0.079,0.083333333
hairdresser,0.013333333,0.013333333,0,0,0,0,0.013333333,0,0,0.013333333,0,0.013333333,0.079,0.158333333
hair cutter,0.08,0.2,0.28,0.146666667,0.026666667,0.12,0.013333333,0.106666667,0.12,0.506666667,0.146666667,0.013333333,0.079,0.296666667
secretary,0,0,0,0,0,0,0,0,0,0,0,0,0.081,0.138333333
phlebotomist,0,0,0,0,0,0.053333333,0,0.026666667,0.066666667,0,0.013333333,0,0.097,0.528333333
receptionist,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0.109,0.17
florist,0,0,0,0,0,0.026666667,0,0,0,0.04,0,0,0.109,0.175
occupational therapist,0,0.026666667,0.013333333,0,0,0,0.013333333,0,0,0.026666667,0,0.013333333,0.114,0.42
housekeeper,0,0,0,0,0,0,0.013333333,0,0,0,0,0.013333333,0.116,0.171666667
school psychologist,0.053333333,0.013333333,0.013333333,0,0.013333333,0,0,0,0,0.106666667,0.026666667,0,0.121,0.405
registered nurse,0.013333333,0,0,0,0,0.013333333,0,0,0,0,0,0,0.126,0.208333333
nutritionist,0.013333333,0.013333333,0.026666667,0,0,0,0,0,0,0.16,0,0,0.137,0.283333333
dietician,0.013333333,0.013333333,0.013333333,0,0,0.013333333,0.013333333,0,0.013333333,0.08,0,0.013333333,0.137,0.28
bookkeeper,0,0.026666667,0.026666667,0.013333333,0.453333333,0.093333333,0.026666667,0,0.026666667,0.253333333,0.026666667,0.026666667,0.138,0.336666667
interior decorator,0.026666667,0,0.026666667,0,0,0,0.026666667,0,0.013333333,0,0.013333333,0.026666667,0.147,0.205
massage therapist,0.026666667,0.026666667,0.013333333,0,0.013333333,0.013333333,0,0.08,0,0.133333333,0.04,0,0.163,0.336666667
manicurist,0,0.08,0,0,0,0.226666667,0.853333333,0,0,0,0,0.853333333,0.165,0.105
paralegal,0,0.026666667,0.026666667,0,0.08,0,0.013333333,0,0,0,0,0.013333333,0.17,0.458333333
librarian,0.013333333,0,0.053333333,0,0,0,0,0.026666667,0.013333333,0.24,0,0,0.175,0.228333333
tailor,0.6,0.373333333,0.626666667,0.586666667,0.8,0.84,0.773333333,0.973333333,0.893333333,1,0.933333333,0.773333333,0.186,0.658333333
dress maker,0,0.013333333,0,0,0,0.013333333,0,0,0,0.04,0,0,0.186,0.166666667
travel agent,0,0.08,0.04,0.013333333,0.013333333,0.026666667,0.013333333,0,0,0,0,0.013333333,0.203,0.358333333
guidance counselor,0.04,0,0.04,0,0,0.053333333,0,0.013333333,0,0,0.053333333,0,0.208,0.366666667
