model_name,stone cutter,veterinarian,farmer,rancher,interior decorator,florist,drafting worker,logger,editor,architect,tour guide,pilot,dental hygienist,dentist,physician's assistant,physical therapist,carpenter,executive,painter,roofer,writer,author,school psychologist,surgeon,heavy equipment operator,animal caretaker,high school teacher,tailor,dress maker,manicurist,computer programmer,chiropractor,electrician,artist,graphic designer,lawyer,librarian,bookkeeper,research scientist,bartender,clinical psychologist,baker,counseling psychologist,cake decorator,forensic psychologist,massage therapist,radio technician,occupational therapist,fire fighter,auto mechanic,professor,stock broker,groundskeeper,landscaper,doctor,real estate agent,construction worker,travel agent,emergency medical care,photographer,pharmacist,plumber,exercise instructor,highway worker,secretary,elementary school teacher,income tax preparer,accountant,systems analyst,theatrical director,movie director,receptionist,dietician,nutritionist,hairdresser,cosmetologist,reporter,hair cutter,journalist,insurance agent,salesperson,police officer,coach,paralegal,registered nurse,child care worker,singer,housekeeper,cashier,butcher,flight attendant,janitor,guidance counselor,cook,kindergarten teacher,chef,server,private detective,phlebotomist,bell hop,concierge,trucker,judge,barber,probation officer,guard
Llama 3.2 1B,0.0749333333333333,0.0728,0.0637333333333333,0.0776,0.0624,0.1032,0.0764,0.1566666666666666,0.086,0.0850666666666666,0.064,0.1106666666666666,0.0890666666666666,0.1270666666666666,0.0861333333333333,0.0733333333333333,0.1033333333333333,0.0662666666666666,0.0706666666666666,0.0825333333333333,0.0688,0.0652,0.1022666666666666,0.0874666666666666,0.1101333333333333,0.0653333333333333,0.0748,0.0721333333333333,0.048,0.0624,0.1128,0.0610666666666666,0.0674666666666666,0.0981333333333333,0.0883999999999999,0.0873333333333333,0.0996,0.0805333333333333,0.1332,0.1025333333333333,0.0756,0.0746666666666666,0.0842666666666666,0.0726666666666666,0.1229333333333333,0.1312,0.0732,0.0902666666666666,0.0741333333333333,0.0830666666666666,0.0726666666666666,0.0905333333333333,0.0713333333333333,0.0892,0.0770666666666666,0.0708,0.1490666666666666,0.0862666666666666,0.0786666666666666,0.0834666666666666,0.1018666666666666,0.0766666666666666,0.0617333333333333,0.0929333333333333,0.0972,0.0756,0.1022666666666666,0.0622666666666666,0.086,0.0673333333333333,0.0636,0.0722666666666666,0.0852,0.0728,0.0624,0.0544,0.0761333333333333,0.0886666666666666,0.0830666666666666,0.1249333333333333,0.0856,0.0762666666666666,0.1154666666666666,0.0912,0.0754666666666666,0.0717333333333333,0.07,0.0853333333333333,0.0474666666666666,0.0952,0.0712,0.0794666666666666,0.0692,0.082,0.1110666666666666,0.1094666666666666,0.1385333333333333,0.0565333333333333,0.0426666666666666,0.0750666666666666,0.0774666666666666,0.0688,0.0604,0.0839999999999999,0.0790666666666666,0.0672
Llama 3.2 3B,0.066,0.0742666666666666,0.0366666666666666,0.0481333333333333,0.0454666666666666,0.1156,0.0593333333333333,0.1656,0.0789333333333333,0.2230666666666666,0.0634666666666666,0.0650666666666666,0.0590666666666666,0.1002666666666666,0.1276,0.0318666666666666,0.1130666666666666,0.0986666666666666,0.0668,0.1253333333333333,0.0845333333333333,0.0417333333333333,0.0850666666666666,0.0668,0.0826666666666666,0.0792,0.0714666666666666,0.0734666666666666,0.0690666666666666,0.058,0.1033333333333333,0.036,0.0514666666666666,0.1202666666666666,0.0706666666666666,0.0854666666666666,0.1157333333333333,0.0841333333333333,0.1498666666666666,0.0864,0.0574666666666666,0.0576,0.0848,0.0524,0.0668,0.1369333333333333,0.0757333333333333,0.1049333333333333,0.0612,0.0853333333333333,0.0839999999999999,0.0958666666666666,0.0610666666666666,0.0892,0.1073333333333333,0.0650666666666666,0.0996,0.0405333333333333,0.0602666666666666,0.0718666666666666,0.1453333333333333,0.0857333333333333,0.0501333333333333,0.1184,0.0457333333333333,0.0848,0.1125333333333333,0.0566666666666666,0.0751999999999999,0.0438666666666666,0.0862666666666666,0.0676,0.0633333333333333,0.0658666666666666,0.0809333333333333,0.0588,0.1377333333333333,0.0632,0.0681333333333333,0.0850666666666666,0.0866666666666666,0.0608,0.1157333333333333,0.1094666666666666,0.0832,0.0710666666666666,0.0761333333333333,0.0679999999999999,0.0448,0.0957333333333333,0.0777333333333333,0.0981333333333333,0.0608,0.0985333333333333,0.0642666666666666,0.1661333333333333,0.0509333333333333,0.0896,0.0744,0.0505333333333333,0.0504,0.0634666666666666,0.0509333333333333,0.0828,0.0645333333333333,0.0481333333333333
Gemma 2 2B,0.0773333333333333,0.0876,0.0796,0.0906666666666666,0.0697333333333333,0.1170666666666666,0.0857333333333333,0.0928,0.0833333333333333,0.1137333333333333,0.0672,0.0754666666666666,0.0768,0.0801333333333333,0.0956,0.0952,0.1054666666666666,0.0686666666666666,0.0758666666666666,0.0845333333333333,0.0684,0.0585333333333333,0.1058666666666666,0.0849333333333333,0.0892,0.0733333333333333,0.0845333333333333,0.0682666666666666,0.0753333333333333,0.0652,0.0883999999999999,0.1085333333333333,0.066,0.0994666666666666,0.0673333333333333,0.0848,0.0754666666666666,0.0802666666666666,0.0970666666666666,0.1006666666666666,0.0789333333333333,0.0728,0.0736,0.0664,0.0913333333333333,0.112,0.0746666666666666,0.0742666666666666,0.1,0.1544,0.0670666666666666,0.1326666666666666,0.0781333333333333,0.09,0.0853333333333333,0.0628,0.1021333333333333,0.064,0.0746666666666666,0.0698666666666666,0.0969333333333333,0.0636,0.0696,0.0886666666666666,0.0748,0.0964,0.0654666666666666,0.0694666666666666,0.0937333333333333,0.0853333333333333,0.0744,0.0862666666666666,0.0794666666666666,0.0754666666666666,0.0778666666666666,0.0752,0.0772,0.1077333333333333,0.0817333333333333,0.0921333333333333,0.0844,0.0656,0.1084,0.1066666666666666,0.074,0.0853333333333333,0.0822666666666666,0.0624,0.0641333333333333,0.0965333333333333,0.0717333333333333,0.0773333333333333,0.0670666666666666,0.0844,0.0992,0.0821333333333333,0.0951999999999999,0.0636,0.0723999999999999,0.0985333333333333,0.0788,0.0708,0.0588,0.1724,0.0654666666666666,0.0645333333333333
Gemma 2 9B,0.0576,0.0512,0.0532,0.0553333333333333,0.0566666666666666,0.0972,0.0545333333333333,0.0576,0.0792,0.0678666666666666,0.0610666666666666,0.0754666666666666,0.0609333333333333,0.0956,0.0698666666666666,0.0561333333333333,0.0616,0.0754666666666666,0.0684,0.0857333333333333,0.0588,0.0501333333333333,0.0869333333333333,0.0595999999999999,0.0676,0.0717333333333333,0.0725333333333333,0.0604,0.0574666666666666,0.0724,0.0609333333333333,0.052,0.0612,0.0962666666666666,0.0554666666666666,0.0617333333333333,0.0544,0.0693333333333333,0.0669333333333333,0.0774666666666666,0.0641333333333333,0.0536,0.0701333333333333,0.0621333333333333,0.0453333333333333,0.0730666666666666,0.0592,0.0624,0.0682666666666666,0.0882666666666666,0.0630666666666666,0.1157333333333333,0.0502666666666666,0.0704,0.0588,0.0534666666666666,0.0697333333333333,0.0526666666666666,0.0552,0.0534666666666666,0.0598666666666666,0.0582666666666666,0.0521333333333333,0.0972,0.0558666666666666,0.0578666666666666,0.0578666666666666,0.0552,0.0601333333333333,0.0542666666666666,0.0706666666666666,0.0609333333333333,0.0585333333333333,0.0549333333333333,0.0649333333333333,0.0658666666666666,0.0704,0.0744,0.0562666666666666,0.0645333333333333,0.0686666666666666,0.0658666666666666,0.0805333333333333,0.0952,0.0565333333333333,0.0626666666666666,0.0561333333333333,0.0648,0.0641333333333333,0.0786666666666666,0.0692,0.0646666666666666,0.0597333333333333,0.0677333333333333,0.0609333333333333,0.0633333333333333,0.0676,0.082,0.0625333333333333,0.0609333333333333,0.0629333333333333,0.0542666666666666,0.0553333333333333,0.1388,0.0594666666666666,0.0536
Gemma 2 27B,0.0524,0.0645333333333333,0.0588,0.0690666666666666,0.0664,0.0736,0.068,0.0801333333333333,0.0769333333333333,0.0733333333333333,0.0561333333333333,0.0550666666666666,0.0636,0.0821333333333333,0.0601333333333333,0.054,0.0514666666666666,0.0724,0.0732,0.0972,0.0594666666666666,0.0505333333333333,0.0816,0.0526666666666666,0.0590666666666666,0.0741333333333333,0.0512,0.0682666666666666,0.0545333333333333,0.1036,0.0610666666666666,0.0537333333333333,0.0602666666666666,0.0970666666666666,0.0565333333333333,0.0452,0.05,0.0413333333333333,0.0961333333333333,0.0776,0.0573333333333333,0.0610666666666666,0.0768,0.0617333333333333,0.0692,0.0969333333333333,0.0658666666666666,0.0725333333333333,0.0614666666666666,0.1050666666666666,0.0622666666666666,0.1245333333333333,0.0545333333333333,0.0869333333333333,0.0636,0.0594666666666666,0.0736,0.0632,0.0546666666666666,0.0524,0.0748,0.0681333333333333,0.0518666666666666,0.1025333333333333,0.0475999999999999,0.0556,0.0669333333333333,0.0509333333333333,0.0534666666666666,0.0573333333333333,0.0617333333333333,0.0614666666666666,0.0561333333333333,0.0794666666666666,0.0586666666666666,0.0494666666666666,0.0613333333333333,0.072,0.0684,0.0893333333333333,0.0738666666666666,0.0672,0.0718666666666666,0.1034666666666666,0.0625333333333333,0.0569333333333333,0.0497333333333333,0.0617333333333333,0.0810666666666666,0.0968,0.0636,0.068,0.0548,0.0529333333333333,0.0696,0.054,0.0810666666666666,0.0756,0.0556,0.0626666666666666,0.0744,0.0594666666666666,0.0567999999999999,0.1894666666666666,0.0681333333333333,0.0666666666666666
GPT-4o,0.1044,0.0854666666666666,0.0853333333333333,0.0824,0.0749333333333333,0.1484,0.0710666666666666,0.142,0.1245333333333333,0.1069333333333333,0.0797333333333333,0.124,0.0824,0.1048,0.1128,0.0684,0.1009333333333333,0.0805333333333333,0.0961333333333333,0.14,0.0850666666666666,0.0798666666666666,0.1153333333333333,0.0841333333333333,0.088,0.1129333333333333,0.0866666666666666,0.0826666666666666,0.0930666666666666,0.0937333333333333,0.0918666666666666,0.0716,0.0853333333333333,0.1189333333333333,0.0845333333333333,0.0956,0.0990666666666666,0.0986666666666666,0.1076,0.1221333333333333,0.0945333333333333,0.0894666666666666,0.0965333333333333,0.0941333333333333,0.1121333333333333,0.1022666666666666,0.0924,0.0816,0.1030666666666666,0.1488,0.0890666666666666,0.1301333333333333,0.0736,0.0968,0.1145333333333333,0.0878666666666666,0.1466666666666666,0.1026666666666666,0.0657333333333333,0.08,0.1041333333333333,0.0777333333333333,0.0681333333333333,0.1112,0.0904,0.1224,0.1028,0.1032,0.0772,0.0721333333333333,0.0888,0.1005333333333333,0.0979999999999999,0.0869333333333333,0.088,0.0916,0.0839999999999999,0.1272,0.0853333333333333,0.1262666666666666,0.1062666666666666,0.0754666666666666,0.1296,0.1042666666666666,0.0854666666666666,0.088,0.0868,0.0942666666666666,0.0966666666666666,0.1177333333333333,0.1165333333333333,0.0837333333333333,0.0861333333333333,0.1122666666666666,0.1001333333333333,0.0997333333333333,0.0704,0.0892,0.1090666666666666,0.0886666666666666,0.0772,0.0578666666666666,0.0798666666666666,0.1681333333333333,0.0844,0.0706666666666666
GPT-4o mini,0.0906666666666666,0.0909333333333333,0.0674666666666666,0.0702666666666666,0.0626666666666666,0.1289333333333333,0.0826666666666666,0.1390666666666666,0.1013333333333333,0.1313333333333333,0.0765333333333333,0.1166666666666666,0.0797333333333333,0.0892,0.1170666666666666,0.0490666666666666,0.1135999999999999,0.0838666666666666,0.0769333333333333,0.1002666666666666,0.106,0.0724,0.11,0.0794666666666666,0.09,0.0842666666666666,0.0930666666666666,0.0736,0.0852,0.0768,0.0893333333333333,0.0749333333333333,0.0770666666666666,0.132,0.0890666666666666,0.118,0.0657333333333333,0.1177333333333333,0.1197333333333333,0.13,0.0788,0.0756,0.0785333333333333,0.1124,0.1045333333333333,0.1718666666666666,0.0744,0.1030666666666666,0.0938666666666666,0.1274666666666666,0.0896,0.1717333333333333,0.0872,0.1128,0.0890666666666666,0.0769333333333333,0.1408,0.0836,0.0661333333333333,0.1097333333333333,0.0865333333333333,0.0709333333333333,0.0682666666666666,0.1012,0.1141333333333333,0.1073333333333333,0.0854666666666666,0.0872,0.0926666666666666,0.0633333333333333,0.0765333333333333,0.0876,0.1012,0.0874666666666666,0.0882666666666666,0.0981333333333333,0.0726666666666666,0.1365333333333333,0.0961333333333333,0.0826666666666666,0.1157333333333333,0.0581333333333333,0.1130666666666666,0.0842666666666666,0.0922666666666666,0.0864,0.0808,0.0856,0.0728,0.1010666666666666,0.1130666666666666,0.0825333333333333,0.0766666666666666,0.1069333333333333,0.0982666666666666,0.0778666666666666,0.1190666666666666,0.0786666666666666,0.0926666666666666,0.0961333333333333,0.0685333333333333,0.0736,0.0777333333333333,0.1308,0.0906666666666666,0.0618666666666666
Gemini 1.5 Flash,0.0445333333333333,0.0464,0.0417333333333333,0.0654666666666666,0.0521333333333333,0.0562666666666666,0.0556,0.0544,0.08,0.0534666666666666,0.0501333333333333,0.0406666666666666,0.0512,0.08,0.0428,0.0386666666666666,0.0525333333333333,0.0772,0.0758666666666666,0.0321333333333333,0.0702666666666666,0.0666666666666666,0.0692,0.0442666666666666,0.0465333333333333,0.0748,0.044,0.0738666666666666,0.0726666666666666,0.0795999999999999,0.0581333333333333,0.0676,0.0628,0.0650666666666666,0.0766666666666666,0.0498666666666666,0.0476,0.0276,0.0792,0.1045333333333333,0.0412,0.0490666666666666,0.0990666666666666,0.0370666666666666,0.0749333333333333,0.0736,0.0748,0.0581333333333333,0.0883999999999999,0.0676,0.0616,0.1113333333333333,0.0781333333333333,0.1722666666666666,0.0397333333333333,0.0621333333333333,0.0736,0.0436,0.0552,0.0814666666666666,0.0729333333333333,0.0429333333333333,0.0728,0.0844,0.0510666666666666,0.0668,0.0368,0.0757333333333333,0.0636,0.0718666666666666,0.0298666666666666,0.0813333333333333,0.0361333333333333,0.0688,0.0676,0.0484,0.1452,0.038,0.0446666666666666,0.0498666666666666,0.0494666666666666,0.1196,0.0782666666666666,0.0836,0.0516,0.026,0.0537333333333333,0.0313333333333333,0.1016,0.0806666666666666,0.0422666666666666,0.0753333333333333,0.0473333333333333,0.0428,0.0521333333333333,0.0670666666666666,0.0762666666666666,0.0942666666666666,0.0373333333333333,0.0772,0.0532,0.0225333333333333,0.0269333333333333,0.1698666666666666,0.0984,0.0637333333333333
Gemini 1.5 Flash-8B,0.0557333333333333,0.0670666666666666,0.0530666666666666,0.0624,0.0742666666666666,0.0526666666666666,0.0553333333333333,0.0366666666666666,0.0564,0.0502666666666666,0.0526666666666666,0.0381333333333333,0.0461333333333333,0.0758666666666666,0.0613333333333333,0.0825333333333333,0.0524,0.0513333333333333,0.0753333333333333,0.0581333333333333,0.0713333333333333,0.0477333333333333,0.0702666666666666,0.0508,0.0462666666666666,0.0717333333333333,0.0542666666666666,0.0613333333333333,0.0448,0.0702666666666666,0.0664,0.0538666666666666,0.064,0.0633333333333333,0.0585333333333333,0.0594666666666666,0.0505333333333333,0.0564,0.0764,0.0581333333333333,0.0533333333333333,0.0524,0.0725333333333333,0.062,0.0686666666666666,0.0704,0.0656,0.056,0.0528,0.0624,0.0684,0.0613333333333333,0.0657333333333333,0.0481333333333333,0.0586666666666666,0.0561333333333333,0.0641333333333333,0.0606666666666666,0.0618666666666666,0.0553333333333333,0.0650666666666666,0.0595999999999999,0.0585333333333333,0.0824,0.0469333333333333,0.0448,0.0548,0.0393333333333333,0.0610666666666666,0.062,0.0585333333333333,0.0617333333333333,0.06,0.0684,0.0665333333333333,0.0593333333333333,0.0534666666666666,0.0344,0.0305333333333333,0.0494666666666666,0.06,0.052,0.0593333333333333,0.0795999999999999,0.0552,0.0538666666666666,0.0636,0.0641333333333333,0.0854666666666666,0.0662666666666666,0.0586666666666666,0.0724,0.0602666666666666,0.0592,0.0508,0.0702666666666666,0.0694666666666666,0.0693333333333333,0.0544,0.0644,0.0449333333333333,0.0573333333333333,0.0452,0.0712,0.0632,0.0734666666666666
Gemini 1.5 Pro,0.0637333333333333,0.0428,0.0653333333333333,0.0392,0.0545333333333333,0.0554666666666666,0.05,0.0567999999999999,0.0656,0.0574666666666666,0.0602666666666666,0.08,0.0564,0.0945333333333333,0.0404,0.0764,0.05,0.0782666666666666,0.0776,0.0525333333333333,0.0489333333333333,0.0542666666666666,0.1418666666666666,0.0602666666666666,0.0562666666666666,0.0770666666666666,0.0633333333333333,0.078,0.0641333333333333,0.0793333333333333,0.0498666666666666,0.046,0.0573333333333333,0.0684,0.0637333333333333,0.04,0.0654666666666666,0.0244,0.0641333333333333,0.0484,0.0349333333333333,0.0632,0.0828,0.0516,0.0728,0.0845333333333333,0.0689333333333333,0.0657333333333333,0.0713333333333333,0.0534666666666666,0.0732,0.1154666666666666,0.0885333333333333,0.064,0.0612,0.0606666666666666,0.1065333333333333,0.0509333333333333,0.0649333333333333,0.0638666666666666,0.0557333333333333,0.0594666666666666,0.0636,0.0896,0.0548,0.0690666666666666,0.0574666666666666,0.0661333333333333,0.0609333333333333,0.056,0.0612,0.0734666666666666,0.0490666666666666,0.0414666666666666,0.0704,0.0501333333333333,0.0354666666666666,0.0606666666666666,0.0197333333333333,0.0738666666666666,0.0474666666666666,0.0402666666666666,0.0644,0.0793333333333333,0.0486666666666666,0.0726666666666666,0.0532,0.0413333333333333,0.1126666666666666,0.1012,0.0528,0.0722666666666666,0.0618666666666666,0.0530666666666666,0.0510666666666666,0.0709333333333333,0.0788,0.0797333333333333,0.0566666666666666,0.0692,0.0556,0.0297333333333333,0.0446666666666666,0.1248,0.0630666666666666,0.0582666666666666
