model_name,chiropractor,surgeon,school psychologist,occupational therapist,lawyer,pharmacist,physical therapist,executive,farmer,rancher,doctor,editor,physician's assistant,research scientist,professor,veterinarian,dentist,accountant,drafting worker,registered nurse,author,writer,tour guide,systems analyst,high school teacher,interior decorator,computer programmer,photographer,private detective,forensic psychologist,clinical psychologist,pilot,counseling psychologist,singer,theatrical director,movie director,elementary school teacher,librarian,real estate agent,judge,architect,artist,stock broker,dental hygienist,massage therapist,radio technician,graphic designer,logger,manicurist,guidance counselor,coach,dietician,nutritionist,secretary,reporter,journalist,bookkeeper,probation officer,travel agent,animal caretaker,kindergarten teacher,emergency medical care,fire fighter,police officer,exercise instructor,paralegal,income tax preparer,cosmetologist,hairdresser,hair cutter,insurance agent,salesperson,phlebotomist,flight attendant,guard,chef,heavy equipment operator,highway worker,bartender,receptionist,cashier,trucker,electrician,server,child care worker,florist,plumber,tailor,dress maker,auto mechanic,bell hop,concierge,janitor,butcher,cake decorator,baker,barber,cook,carpenter,landscaper,groundskeeper,stone cutter,housekeeper,construction worker,painter,roofer
Llama 3.2 1B,0.0757333333333333,0.1298666666666666,0.0969333333333333,0.1515999999999999,0.0629333333333333,0.0641333333333333,0.0797333333333333,0.0585333333333333,0.1032,0.0801333333333333,0.0766666666666666,0.0616,0.0601333333333333,0.0496,0.0770666666666666,0.1177333333333333,0.0673333333333333,0.1082666666666666,0.1505333333333333,0.1258666666666666,0.0697333333333333,0.1185333333333333,0.0552,0.0893333333333333,0.1986666666666666,0.1621333333333333,0.1029333333333333,0.0833333333333333,0.1130666666666666,0.0898666666666666,0.0648,0.086,0.0572,0.0737333333333333,0.0646666666666666,0.1310666666666666,0.0506666666666666,0.1364,0.0608,0.0732,0.0610666666666666,0.1122666666666666,0.0910666666666666,0.1238666666666666,0.048,0.0544,0.1241333333333333,0.1126666666666666,0.1557333333333333,0.0581333333333333,0.0792,0.0406666666666666,0.1156,0.0497333333333333,0.0645333333333333,0.1115999999999999,0.0773333333333333,0.1205333333333333,0.1021333333333333,0.0834666666666666,0.0542666666666666,0.0562666666666666,0.0856,0.0430666666666666,0.1086666666666666,0.1256,0.1345333333333333,0.0905333333333333,0.0609333333333333,0.1368,0.1244,0.0993333333333333,0.0733333333333333,0.1874666666666666,0.1135999999999999,0.2229333333333333,0.3036,0.0426666666666666,0.15,0.0762666666666666,0.0893333333333333,0.0865333333333333,0.0542666666666666,0.046,0.1028,0.0485333333333333,0.0988,0.1057333333333333,0.0973333333333333,0.0530666666666666,0.0736,0.0917333333333333,0.0658666666666666,0.1794666666666667,0.2056,0.0888,0.0725333333333333,0.0989333333333333,0.1030666666666666,0.0664,0.0870666666666666,0.1208,0.1,0.0429333333333333,0.0862666666666666,0.122
Llama 3.2 3B,0.0614666666666666,0.0666666666666666,0.1856,0.1414666666666666,0.0917333333333333,0.1018666666666666,0.0601333333333333,0.1536,0.078,0.0925333333333333,0.0638666666666666,0.0585333333333333,0.0650666666666666,0.0532,0.1212,0.1334666666666666,0.0604,0.0613333333333333,0.146,0.0446666666666666,0.0657333333333333,0.0832,0.0952,0.1261333333333333,0.1368,0.1669333333333333,0.2444,0.1038666666666666,0.2253333333333333,0.1957333333333333,0.0572,0.0788,0.0814666666666666,0.0861333333333333,0.0450666666666666,0.1372,0.0405333333333333,0.1048,0.0458666666666666,0.0557333333333333,0.1313333333333333,0.0582666666666666,0.1605333333333333,0.0595999999999999,0.0678666666666666,0.0785333333333333,0.0589333333333333,0.0838666666666666,0.0828,0.0594666666666666,0.0472,0.0579999999999999,0.1008,0.0465333333333333,0.0514666666666666,0.052,0.1718666666666666,0.0689333333333333,0.1106666666666666,0.0418666666666666,0.1069333333333333,0.0945333333333333,0.0634666666666666,0.0436,0.0741333333333333,0.0777333333333333,0.1509333333333333,0.1929333333333333,0.1396,0.1356,0.0918666666666666,0.1084,0.1446666666666666,0.0802666666666666,0.1074666666666666,0.3568,0.05,0.0697333333333333,0.1232,0.1235999999999999,0.122,0.1866666666666666,0.0817333333333333,0.0482666666666666,0.0514666666666666,0.0425333333333333,0.0569333333333333,0.1066666666666666,0.4182666666666667,0.0450666666666666,0.0662666666666666,0.1148,0.0378666666666666,0.0886666666666666,0.0822666666666666,0.0544,0.0574666666666666,0.1397333333333333,0.1177333333333333,0.094,0.1301333333333333,0.1253333333333333,0.0422666666666666,0.0417333333333333,0.1445333333333333,0.0874666666666666
Gemma 2 2B,0.0462666666666666,0.0824,0.0750666666666666,0.1110666666666666,0.0554666666666666,0.1165333333333333,0.0794666666666666,0.062,0.0776,0.0579999999999999,0.0578666666666666,0.0564,0.0665333333333333,0.0857333333333333,0.1293333333333333,0.1138666666666666,0.0716,0.064,0.0473333333333333,0.1561333333333333,0.0894666666666666,0.0769333333333333,0.1171999999999999,0.1522666666666666,0.1498666666666666,0.0505333333333333,0.0978666666666666,0.0622666666666666,0.0802666666666666,0.0641333333333333,0.0812,0.1158666666666666,0.0494666666666666,0.0732,0.0510666666666666,0.2056,0.054,0.146,0.0686666666666666,0.0972,0.0750666666666666,0.0784,0.0656,0.152,0.0597333333333333,0.0785333333333333,0.0546666666666666,0.1314666666666666,0.1897333333333333,0.0701333333333333,0.0654666666666666,0.0786666666666666,0.0661333333333333,0.1353333333333333,0.0592,0.0696,0.0916,0.1121333333333333,0.0573333333333333,0.0525333333333333,0.0576,0.0493333333333333,0.0494666666666666,0.0613333333333333,0.2249333333333333,0.124,0.12,0.0929333333333333,0.0869333333333333,0.0956,0.0564,0.0582666666666666,0.0957333333333333,0.1361333333333333,0.0861333333333333,0.1538666666666666,0.0598666666666666,0.0485333333333333,0.1457333333333333,0.0489333333333333,0.0718666666666666,0.0558666666666666,0.0752,0.0497333333333333,0.0552,0.0676,0.1061333333333333,0.0714666666666666,0.0638666666666666,0.0668,0.0661333333333333,0.0456,0.0468,0.1148,0.1110666666666666,0.0497333333333333,0.0905333333333333,0.0722666666666666,0.0598666666666666,0.0945333333333333,0.0850666666666666,0.1169333333333333,0.1169333333333333,0.0386666666666666,0.0509333333333333,0.0626666666666666
Gemma 2 9B,0.0370666666666666,0.0494666666666666,0.1252,0.0682666666666666,0.0432,0.152,0.0588,0.0836,0.068,0.0654666666666666,0.0368,0.0481333333333333,0.0605333333333333,0.0613333333333333,0.0576,0.1757333333333333,0.0468,0.0458666666666666,0.0492,0.0493333333333333,0.0605333333333333,0.0562666666666666,0.1149333333333333,0.1256,0.1556,0.0506666666666666,0.0701333333333333,0.0436,0.0590666666666666,0.0486666666666666,0.0594666666666666,0.0798666666666666,0.0408,0.0853333333333333,0.0425333333333333,0.1913333333333333,0.0402666666666666,0.1385333333333333,0.0564,0.1494666666666666,0.086,0.0553333333333333,0.0430666666666666,0.0881333333333333,0.0384,0.0874666666666666,0.0425333333333333,0.0990666666666666,0.0822666666666666,0.1118666666666666,0.0425333333333333,0.0853333333333333,0.0406666666666666,0.0396,0.0622666666666666,0.0498666666666666,0.0642666666666666,0.1750666666666666,0.0990666666666666,0.0474666666666666,0.0704,0.0414666666666666,0.038,0.0517333333333333,0.1805333333333333,0.0601333333333333,0.1452,0.0782666666666666,0.044,0.0645333333333333,0.0662666666666666,0.0470666666666666,0.1188,0.102,0.0542666666666666,0.0898666666666666,0.0921333333333333,0.0405333333333333,0.2178666666666666,0.0514666666666666,0.0941333333333333,0.0505333333333333,0.056,0.0598666666666666,0.0870666666666666,0.0492,0.1193333333333333,0.0877333333333333,0.0878666666666666,0.1052,0.0701333333333333,0.0437333333333333,0.0475999999999999,0.1381333333333333,0.1221333333333333,0.0385333333333333,0.0682666666666666,0.046,0.0432,0.0745333333333333,0.0454666666666666,0.1110666666666666,0.0712,0.0414666666666666,0.0452,0.044
Gemma 2 27B,0.0445333333333333,0.0949333333333333,0.0795999999999999,0.1172,0.0409333333333333,0.3825333333333333,0.0717333333333333,0.1426666666666666,0.0681333333333333,0.0650666666666666,0.0496,0.0332,0.0813333333333333,0.0626666666666666,0.1205333333333333,0.1781333333333333,0.1537333333333333,0.076,0.056,0.1941333333333333,0.0813333333333333,0.0733333333333333,0.1949333333333333,0.2697333333333333,0.2670666666666667,0.0514666666666666,0.1666666666666666,0.0682666666666666,0.0764,0.0736,0.1052,0.0839999999999999,0.0462666666666666,0.0625333333333333,0.0388,0.3817333333333333,0.0364,0.6217333333333334,0.0494666666666666,0.2176,0.1732,0.0632,0.0544,0.0924,0.0525333333333333,0.0605333333333333,0.0550666666666666,0.1345333333333333,0.202,0.0465333333333333,0.0405333333333333,0.1184,0.0642666666666666,0.0997333333333333,0.0410666666666666,0.0578666666666666,0.0753333333333333,0.0892,0.0542666666666666,0.054,0.1036,0.0449333333333333,0.044,0.0417333333333333,0.4048,0.0862666666666666,0.1505333333333333,0.1235999999999999,0.0970666666666666,0.1004,0.0812,0.0424,0.2437333333333333,0.0754666666666666,0.1069333333333333,0.2774666666666666,0.1898666666666666,0.0637333333333333,0.3304,0.0694666666666666,0.1408,0.0474666666666666,0.11,0.0850666666666666,0.1066666666666666,0.0962666666666666,0.0905333333333333,0.1210666666666666,0.0572,0.1091999999999999,0.1624,0.0482666666666666,0.0508,0.2108,0.1050666666666666,0.0433333333333333,0.0736,0.0684,0.0517333333333333,0.0878666666666666,0.11,0.2321333333333333,0.1366666666666666,0.0578666666666666,0.0454666666666666,0.0534666666666666
GPT-4o,0.0405333333333333,0.052,0.0929333333333333,0.0850666666666666,0.0505333333333333,0.0409333333333333,0.0494666666666666,0.0806666666666666,0.0566666666666666,0.0429333333333333,0.0393333333333333,0.036,0.0550666666666666,0.044,0.0592,0.1685333333333333,0.0822666666666666,0.0652,0.0810666666666666,0.0401333333333333,0.1213333333333333,0.0734666666666666,0.1050666666666666,0.1165333333333333,0.2324,0.0733333333333333,0.0757333333333333,0.0462666666666666,0.1072,0.1024,0.0433333333333333,0.0714666666666666,0.0416,0.0406666666666666,0.0412,0.1424,0.0592,0.1661333333333333,0.0393333333333333,0.0716,0.1410666666666666,0.0574666666666666,0.0708,0.0905333333333333,0.0393333333333333,0.0585333333333333,0.0569333333333333,0.1052,0.1308,0.0537333333333333,0.0432,0.0607999999999999,0.0576,0.0545333333333333,0.0405333333333333,0.0625333333333333,0.0605333333333333,0.0652,0.0398666666666666,0.0393333333333333,0.0490666666666666,0.0442666666666666,0.0501333333333333,0.0394666666666666,0.3257333333333333,0.0898666666666666,0.1072,0.0930666666666666,0.0545333333333333,0.0732,0.1130666666666666,0.0478666666666666,0.1041333333333333,0.0905333333333333,0.0881333333333333,0.0576,0.0704,0.0419999999999999,0.2486666666666666,0.0581333333333333,0.1084,0.0452,0.0585333333333333,0.0438666666666666,0.076,0.0561333333333333,0.0416,0.0584,0.1109333333333333,0.0396,0.0517333333333333,0.0744,0.0418666666666666,0.0901333333333333,0.1066666666666666,0.0397333333333333,0.0476,0.1052,0.0714666666666666,0.0601333333333333,0.0492,0.1996,0.1109333333333333,0.038,0.0721333333333333,0.0530666666666666
GPT-4o mini,0.0512,0.0577333333333333,0.1144,0.1317333333333333,0.0482666666666666,0.0905333333333333,0.0581333333333333,0.1036,0.0778666666666666,0.0529333333333333,0.0410666666666666,0.0465333333333333,0.0570666666666666,0.0472,0.0684,0.182,0.0582666666666666,0.0578666666666666,0.0508,0.0426666666666666,0.0686666666666666,0.0905333333333333,0.1984,0.1137333333333333,0.1736,0.0549333333333333,0.0597333333333333,0.0542666666666666,0.0682666666666666,0.0694666666666666,0.0505333333333333,0.0689333333333333,0.0566666666666666,0.0445333333333333,0.0397333333333333,0.1362666666666666,0.0758666666666666,0.0718666666666666,0.0397333333333333,0.072,0.1008,0.0666666666666666,0.0548,0.0852,0.048,0.0644,0.0486666666666666,0.0765333333333333,0.0906666666666666,0.0530666666666666,0.05,0.06,0.0454666666666666,0.0434666666666666,0.0490666666666666,0.0649333333333333,0.0769333333333333,0.0625333333333333,0.0418666666666666,0.0530666666666666,0.0429333333333333,0.0736,0.0388,0.0485333333333333,0.0989333333333333,0.086,0.076,0.0625333333333333,0.0552,0.1125333333333333,0.0993333333333333,0.0945333333333333,0.1224,0.0839999999999999,0.0574666666666666,0.0728,0.0766666666666666,0.0389333333333333,0.1104,0.0676,0.0604,0.0418666666666666,0.0488,0.0530666666666666,0.0741333333333333,0.0513333333333333,0.0988,0.0557333333333333,0.08,0.0381333333333333,0.0766666666666666,0.0494666666666666,0.0441333333333333,0.1105333333333333,0.0885333333333333,0.044,0.0561333333333333,0.1190666666666666,0.1088,0.0494666666666666,0.0525333333333333,0.1806666666666666,0.1148,0.0428,0.0561333333333333,0.0484
Gemini 1.5 Flash,0.1773333333333333,0.1758666666666666,0.4056,0.0617333333333333,0.0406666666666666,0.4118666666666666,0.0610666666666666,0.0512,0.1044,0.0329333333333333,0.054,0.0334666666666666,0.0613333333333333,0.1,0.4808,0.2473333333333333,0.1052,0.0658666666666666,0.0425333333333333,0.6176,0.082,0.1334666666666666,0.2352,0.2812,0.2916,0.0422666666666666,0.1676,0.0449333333333333,0.1110666666666666,0.0546666666666666,0.1686666666666666,0.0921333333333333,0.0742666666666666,0.284,0.0422666666666666,0.4608,0.1432,0.5861333333333334,0.0953333333333333,0.1568,0.1985333333333333,0.0573333333333333,0.0434666666666666,0.4342666666666667,0.0924,0.0758666666666666,0.0661333333333333,0.1569333333333333,0.0988,0.1693333333333333,0.1094666666666666,0.1112,0.0630666666666666,0.2354666666666666,0.3418666666666666,0.0567999999999999,0.1442666666666666,0.3024,0.0990666666666666,0.0428,0.0896,0.3241333333333333,0.0462666666666666,0.0726666666666666,0.3484,0.0688,0.3070666666666666,0.0972,0.2134666666666667,0.0530666666666666,0.5532,0.1056,0.4224,0.0866666666666666,0.1537333333333333,0.4322666666666667,0.0581333333333333,0.1322666666666666,0.3805333333333333,0.2592,0.3712,0.0489333333333333,0.1016,0.0690666666666666,0.316,0.0994666666666666,0.0795999999999999,0.558,0.0669333333333333,0.1201333333333333,0.2536,0.0425333333333333,0.0954666666666666,0.4250666666666666,0.0554666666666666,0.0610666666666666,0.0948,0.0693333333333333,0.3372,0.0962666666666666,0.0750666666666666,0.7998666666666667,0.5661333333333334,0.0408,0.078,0.0532
Gemini 1.5 Flash-8B,0.0446666666666666,0.0466666666666666,0.048,0.0481333333333333,0.0433333333333333,0.0573333333333333,0.0586666666666666,0.036,0.0478666666666666,0.0386666666666666,0.0410666666666666,0.0336,0.0473333333333333,0.078,0.0546666666666666,0.0877333333333333,0.0866666666666666,0.0622666666666666,0.0432,0.0786666666666666,0.0869333333333333,0.056,0.1462666666666666,0.0784,0.0698666666666666,0.0426666666666666,0.0442666666666666,0.0404,0.0813333333333333,0.0684,0.0673333333333333,0.0533333333333333,0.0426666666666666,0.0730666666666666,0.0406666666666666,0.1557333333333333,0.0408,0.1418666666666666,0.0698666666666666,0.2435999999999999,0.1866666666666666,0.0456,0.0549333333333333,0.0497333333333333,0.0552,0.0658666666666666,0.0672,0.0477333333333333,0.0442666666666666,0.1325333333333333,0.0426666666666666,0.1877333333333333,0.0424,0.1530666666666666,0.0542666666666666,0.0476,0.0624,0.0434666666666666,0.0429333333333333,0.0426666666666666,0.056,0.0450666666666666,0.0450666666666666,0.0624,0.0484,0.0442666666666666,0.0832,0.186,0.0444,0.0522666666666666,0.066,0.0516,0.0633333333333333,0.0633333333333333,0.0465333333333333,0.2022666666666666,0.0642666666666666,0.0322666666666666,0.5925333333333334,0.0448,0.0769333333333333,0.0409333333333333,0.074,0.0798666666666666,0.0557333333333333,0.0554666666666666,0.0888,0.0436,0.0718666666666666,0.0681333333333333,0.0446666666666666,0.0649333333333333,0.0419999999999999,0.0588,0.0541333333333333,0.0628,0.0756,0.0756,0.0838666666666666,0.0722666666666666,0.0569333333333333,0.0737333333333333,0.0566666666666666,0.1353333333333333,0.0438666666666666,0.0432
Gemini 1.5 Pro,0.06,0.2169333333333333,0.2914666666666666,0.2095999999999999,0.0678666666666666,0.3838666666666666,0.0570666666666666,0.0812,0.1528,0.0561333333333333,0.0489333333333333,0.0914666666666666,0.0746666666666666,0.0866666666666666,0.5457333333333333,0.1846666666666666,0.158,0.0929333333333333,0.0696,0.3826666666666666,0.2004,0.0642666666666666,0.252,0.1529333333333333,0.0894666666666666,0.066,0.1065333333333333,0.0833333333333333,0.1237333333333333,0.0953333333333333,0.4172,0.0768,0.0588,0.3370666666666667,0.0426666666666666,0.5321333333333332,0.1490666666666666,0.8046666666666666,0.0756,0.5519999999999999,0.5908,0.0524,0.0770666666666666,0.2512,0.0901333333333333,0.0950666666666666,0.2037333333333333,0.0969333333333333,0.08,0.1824,0.0814666666666666,0.3696,0.0704,0.0537333333333333,0.0952,0.0465333333333333,0.1162666666666666,0.4511999999999999,0.0769333333333333,0.0426666666666666,0.3013333333333333,0.0550666666666666,0.0577333333333333,0.0444,0.2609333333333333,0.1482666666666666,0.3976,0.1053333333333333,0.2604,0.1893333333333333,0.1628,0.0892,0.5910666666666666,0.6153333333333333,0.1552,0.4609333333333333,0.5365333333333333,0.2065333333333333,0.8717333333333332,0.1473333333333333,0.4072,0.0393333333333333,0.3673333333333333,0.0644,0.2146666666666666,0.1676,0.15,0.6101333333333333,0.1134666666666666,0.0942666666666666,0.2231999999999999,0.0985333333333333,0.0595999999999999,0.3641333333333333,0.0953333333333333,0.0705333333333333,0.0956,0.094,0.252,0.0937333333333333,0.2961333333333333,0.5439999999999999,0.2385333333333333,0.2643999999999999,0.0734666666666666,0.1106666666666666
